Cruise,Station,Latitude,Longitude,Year,Month,Day,Hour,Depth,Temperature,Salinity
CC,1,40.076883,11.343696,2019,7,1,12:00,150,13.8,38.34
CC,1,40.076883,11.343696,2019,7,1,12:00,160,13.85,38.38
CC,1,40.076883,11.343696,2019,7,1,12:00,170,13.89,38.41
CC,1,40.076883,11.343696,2019,7,1,12:00,180,13.86,38.44
CC,1,40.076883,11.343696,2019,7,1,12:00,190,13.91,38.46
CC,1,40.076883,11.343696,2019,7,1,12:00,200,13.92,38.49
DD,1,40.076883,11.343696,2019,10,1,12:00,0,19.03,37.97
DD,1,40.076883,11.343696,2019,10,1,12:00,5,19.17,38
DD,1,40.076883,11.343696,2019,10,1,12:00,10,19.28,38.03
DD,1,40.076883,11.343696,2019,10,1,12:00,15,19.39,38.05
DD,1,40.076883,11.343696,2019,10,1,12:00,20,19.32,38.06
DD,1,40.076883,11.343696,2019,10,1,12:00,25,19.17,38.05
DD,1,40.076883,11.343696,2019,10,1,12:00,30,18.92,38.06
DD,1,40.076883,11.343696,2019,10,1,12:00,35,18.24,38.05
DD,1,40.076883,11.343696,2019,10,1,12:00,40,17.72,38.06
DD,1,40.076883,11.343696,2019,10,1,12:00,45,17.07,38.07
DD,1,40.076883,11.343696,2019,10,1,12:00,50,16.37,38.07
DD,1,40.076883,11.343696,2019,10,1,12:00,55,15.92,38.08
DD,1,40.076883,11.343696,2019,10,1,12:00,60,15.44,38.09
DD,1,40.076883,11.343696,2019,10,1,12:00,65,14.92,38.1
DD,1,40.076883,11.343696,2019,10,1,12:00,70,14.56,38.11
DD,1,40.076883,11.343696,2019,10,1,12:00,75,14.43,38.12
DD,1,40.076883,11.343696,2019,10,1,12:00,80,14.34,38.14
DD,1,40.076883,11.343696,2019,10,1,12:00,85,14.24,38.15
DD,1,40.076883,11.343696,2019,10,1,12:00,90,14.11,38.16
DD,1,40.076883,11.343696,2019,10,1,12:00,95,13.97,38.18
DD,1,40.076883,11.343696,2019,10,1,12:00,100,13.97,38.21
DD,1,40.076883,11.343696,2019,10,1,12:00,110,13.99,38.23
DD,1,40.076883,11.343696,2019,10,1,12:00,120,13.97,38.26
DD,1,40.076883,11.343696,2019,10,1,12:00,130,13.97,38.29
DD,1,40.076883,11.343696,2019,10,1,12:00,140,13.92,38.32
DD,1,40.076883,11.343696,2019,10,1,12:00,150,13.83,38.35
DD,1,40.076883,11.343696,2019,10,1,12:00,160,13.83,38.38
DD,1,40.076883,11.343696,2019,10,1,12:00,170,13.81,38.42
DD,1,40.076883,11.343696,2019,10,1,12:00,180,13.78,38.45
DD,1,40.076883,11.343696,2019,10,1,12:00,190,13.83,38.47
DD,1,40.076883,11.343696,2019,10,1,12:00,200,13.85,38.5
AA,2,43.214346,3.755232,2019,1,1,12:00,0,12.94,38.13
AA,2,43.214346,3.755232,2019,1,1,12:00,5,12.94,38.15
AA,2,43.214346,3.755232,2019,1,1,12:00,10,12.94,38.17
AA,2,43.214346,3.755232,2019,1,1,12:00,15,12.94,38.17
AA,2,43.214346,3.755232,2019,1,1,12:00,20,12.91,38.17
AA,2,43.214346,3.755232,2019,1,1,12:00,25,12.91,38.18
AA,2,43.214346,3.755232,2019,1,1,12:00,30,12.91,38.18
AA,2,43.214346,3.755232,2019,1,1,12:00,35,12.91,38.2
AA,2,43.214346,3.755232,2019,1,1,12:00,40,12.91,38.2
AA,2,43.214346,3.755232,2019,1,1,12:00,45,12.91,38.21
AA,2,43.214346,3.755232,2019,1,1,12:00,50,12.91,38.22
AA,2,43.214346,3.755232,2019,1,1,12:00,55,12.91,38.23
AA,2,43.214346,3.755232,2019,1,1,12:00,60,12.91,38.25
AA,2,43.214346,3.755232,2019,1,1,12:00,65,12.91,38.26
AA,2,43.214346,3.755232,2019,1,1,12:00,70,12.91,38.28
AA,2,43.214346,3.755232,2019,1,1,12:00,75,12.91,38.29
AA,2,43.214346,3.755232,2019,1,1,12:00,80,12.91,38.3
AA,2,43.214346,3.755232,2019,1,1,12:00,85,12.91,38.32
AA,2,43.214346,3.755232,2019,1,1,12:00,90,12.91,38.33
AA,2,43.214346,3.755232,2019,1,1,12:00,95,12.91,38.34
AA,2,43.214346,3.755232,2019,1,1,12:00,100,12.91,38.37
AA,2,43.214346,3.755232,2019,1,1,12:00,105,12.91,38.37
AA,2,43.214346,3.755232,2019,1,1,12:00,110,12.91,38.37
AA,2,43.214346,3.755232,2019,1,1,12:00,115,12.91,38.38
AA,2,43.214346,3.755232,2019,1,1,12:00,120,12.91,38.39
AA,2,43.214346,3.755232,2019,1,1,12:00,125,12.91,38.39
AA,2,43.214346,3.755232,2019,1,1,12:00,130,12.94,38.4
AA,2,43.214346,3.755232,2019,1,1,12:00,135,12.94,38.4
AA,2,43.214346,3.755232,2019,1,1,12:00,140,12.94,38.4
AA,2,43.214346,3.755232,2019,1,1,12:00,145,12.94,38.4
AA,2,43.214346,3.755232,2019,1,1,12:00,150,12.94,38.41
AA,2,43.214346,3.755232,2019,1,1,12:00,155,12.94,38.41
AA,2,43.214346,3.755232,2019,1,1,12:00,160,12.94,38.42
AA,2,43.214346,3.755232,2019,1,1,12:00,165,12.94,38.42
AA,2,43.214346,3.755232,2019,1,1,12:00,170,12.94,38.42
AA,2,43.214346,3.755232,2019,1,1,12:00,175,12.94,38.42
AA,2,43.214346,3.755232,2019,1,1,12:00,180,12.94,38.42
AA,2,43.214346,3.755232,2019,1,1,12:00,185,12.94,38.43
AA,2,43.214346,3.755232,2019,1,1,12:00,190,12.94,38.43
AA,2,43.214346,3.755232,2019,1,1,12:00,195,12.94,38.43
AA,2,43.214346,3.755232,2019,1,1,12:00,200,12.94,38.43
BB,2,43.214346,3.755232,2019,4,1,12:00,0,15.95,37.73
BB,2,43.214346,3.755232,2019,4,1,12:00,5,15.89,37.82
BB,2,43.214346,3.755232,2019,4,1,12:00,10,15.64,37.87
BB,2,43.214346,3.755232,2019,4,1,12:00,15,15.32,37.91
BB,2,43.214346,3.755232,2019,4,1,12:00,20,15.01,37.95
BB,2,43.214346,3.755232,2019,4,1,12:00,25,14.7,37.98
BB,2,43.214346,3.755232,2019,4,1,12:00,30,14.41,38
BB,2,43.214346,3.755232,2019,4,1,12:00,35,14.19,38.02
BB,2,43.214346,3.755232,2019,4,1,12:00,40,14.01,38.04
BB,2,43.214346,3.755232,2019,4,1,12:00,45,13.82,38.05
BB,2,43.214346,3.755232,2019,4,1,12:00,50,13.65,38.07
BB,2,43.214346,3.755232,2019,4,1,12:00,55,13.6,38.08
BB,2,43.214346,3.755232,2019,4,1,12:00,60,13.54,38.1
BB,2,43.214346,3.755232,2019,4,1,12:00,65,13.44,38.11
BB,2,43.214346,3.755232,2019,4,1,12:00,70,13.41,38.12
BB,2,43.214346,3.755232,2019,4,1,12:00,75,13.35,38.14
BB,2,43.214346,3.755232,2019,4,1,12:00,80,13.32,38.15
BB,2,43.214346,3.755232,2019,4,1,12:00,85,13.29,38.16
BB,2,43.214346,3.755232,2019,4,1,12:00,90,13.29,38.17
BB,2,43.214346,3.755232,2019,4,1,12:00,95,13.29,38.18
BB,2,43.214346,3.755232,2019,4,1,12:00,100,13.29,38.2
BB,2,43.214346,3.755232,2019,4,1,12:00,105,13.29,38.21
BB,2,43.214346,3.755232,2019,4,1,12:00,110,13.29,38.23
BB,2,43.214346,3.755232,2019,4,1,12:00,115,13.29,38.23
BB,2,43.214346,3.755232,2019,4,1,12:00,120,13.29,38.24
BB,2,43.214346,3.755232,2019,4,1,12:00,125,13.29,38.25
BB,2,43.214346,3.755232,2019,4,1,12:00,130,13.29,38.26
BB,2,43.214346,3.755232,2019,4,1,12:00,135,13.29,38.27
BB,2,43.214346,3.755232,2019,4,1,12:00,140,13.29,38.28
BB,2,43.214346,3.755232,2019,4,1,12:00,145,13.29,38.29
BB,2,43.214346,3.755232,2019,4,1,12:00,150,13.29,38.3
BB,2,43.214346,3.755232,2019,4,1,12:00,155,13.29,38.31
BB,2,43.214346,3.755232,2019,4,1,12:00,160,13.25,38.31
BB,2,43.214346,3.755232,2019,4,1,12:00,165,13.25,38.32
BB,2,43.214346,3.755232,2019,4,1,12:00,170,13.25,38.33
BB,2,43.214346,3.755232,2019,4,1,12:00,175,13.25,38.34
BB,2,43.214346,3.755232,2019,4,1,12:00,180,13.25,38.35
BB,2,43.214346,3.755232,2019,4,1,12:00,185,13.25,38.35
BB,2,43.214346,3.755232,2019,4,1,12:00,190,13.25,38.36
BB,2,43.214346,3.755232,2019,4,1,12:00,195,13.25,38.37
BB,2,43.214346,3.755232,2019,4,1,12:00,200,13.25,38.37
CC,2,43.214346,3.755232,2019,7,1,12:00,0,20.62,37.6
CC,2,43.214346,3.755232,2019,7,1,12:00,5,20.43,37.68
CC,2,43.214346,3.755232,2019,7,1,12:00,10,20.03,37.78
CC,2,43.214346,3.755232,2019,7,1,12:00,15,19.27,37.86
CC,2,43.214346,3.755232,2019,7,1,12:00,20,18.61,37.9
CC,2,43.214346,3.755232,2019,7,1,12:00,25,17.67,37.94
CC,2,43.214346,3.755232,2019,7,1,12:00,30,16.45,37.97
CC,2,43.214346,3.755232,2019,7,1,12:00,35,15.67,38
CC,2,43.214346,3.755232,2019,7,1,12:00,40,14.79,38.02
CC,2,43.214346,3.755232,2019,7,1,12:00,45,14.38,38.04
CC,2,43.214346,3.755232,2019,7,1,12:00,50,13.97,38.06
CC,2,43.214346,3.755232,2019,7,1,12:00,55,13.88,38.08
CC,2,43.214346,3.755232,2019,7,1,12:00,60,13.76,38.09
CC,2,43.214346,3.755232,2019,7,1,12:00,65,13.63,38.1
CC,2,43.214346,3.755232,2019,7,1,12:00,70,13.5,38.12
CC,2,43.214346,3.755232,2019,7,1,12:00,75,13.41,38.14
CC,2,43.214346,3.755232,2019,7,1,12:00,80,13.38,38.15
CC,2,43.214346,3.755232,2019,7,1,12:00,85,13.35,38.16
CC,2,43.214346,3.755232,2019,7,1,12:00,90,13.35,38.17
CC,2,43.214346,3.755232,2019,7,1,12:00,95,13.34,38.18
CC,2,43.214346,3.755232,2019,7,1,12:00,100,13.32,38.2
CC,2,43.214346,3.755232,2019,7,1,12:00,105,13.29,38.21
CC,2,43.214346,3.755232,2019,7,1,12:00,110,13.29,38.23
CC,2,43.214346,3.755232,2019,7,1,12:00,115,13.29,38.25
CC,2,43.214346,3.755232,2019,7,1,12:00,120,13.29,38.25
CC,2,43.214346,3.755232,2019,7,1,12:00,125,13.25,38.27
CC,2,43.214346,3.755232,2019,7,1,12:00,130,13.25,38.28
CC,2,43.214346,3.755232,2019,7,1,12:00,135,13.22,38.29
CC,2,43.214346,3.755232,2019,7,1,12:00,140,13.22,38.31
CC,2,43.214346,3.755232,2019,7,1,12:00,145,13.22,38.32
CC,2,43.214346,3.755232,2019,7,1,12:00,150,13.22,38.32
CC,2,43.214346,3.755232,2019,7,1,12:00,155,13.22,38.34
CC,2,43.214346,3.755232,2019,7,1,12:00,160,13.22,38.34
CC,2,43.214346,3.755232,2019,7,1,12:00,165,13.22,38.35
CC,2,43.214346,3.755232,2019,7,1,12:00,170,13.22,38.36
CC,2,43.214346,3.755232,2019,7,1,12:00,175,13.22,38.37
CC,2,43.214346,3.755232,2019,7,1,12:00,180,13.22,38.38
CC,2,43.214346,3.755232,2019,7,1,12:00,185,13.22,38.38
CC,2,43.214346,3.755232,2019,7,1,12:00,190,13.22,38.39
CC,2,43.214346,3.755232,2019,7,1,12:00,195,13.22,38.4
CC,2,43.214346,3.755232,2019,7,1,12:00,200,13.19,38.4
DD,2,43.214346,3.755232,2019,10,1,12:00,0,16.92,37.91
DD,2,43.214346,3.755232,2019,10,1,12:00,5,16.98,37.94
DD,2,43.214346,3.755232,2019,10,1,12:00,10,17.02,37.98
DD,2,43.214346,3.755232,2019,10,1,12:00,15,17.02,38
DD,2,43.214346,3.755232,2019,10,1,12:00,20,17.02,38.03
DD,2,43.214346,3.755232,2019,10,1,12:00,25,16.86,38.05
DD,2,43.214346,3.755232,2019,10,1,12:00,30,16.67,38.06
DD,2,43.214346,3.755232,2019,10,1,12:00,35,16.45,38.07
DD,2,43.214346,3.755232,2019,10,1,12:00,40,16.17,38.08
DD,2,43.214346,3.755232,2019,10,1,12:00,45,15.76,38.09
DD,2,43.214346,3.755232,2019,10,1,12:00,50,15.42,38.11
DD,2,43.214346,3.755232,2019,10,1,12:00,55,15.1,38.12
DD,2,43.214346,3.755232,2019,10,1,12:00,60,14.82,38.14
DD,2,43.214346,3.755232,2019,10,1,12:00,65,14.54,38.15
DD,2,43.214346,3.755232,2019,10,1,12:00,70,14.23,38.16
DD,2,43.214346,3.755232,2019,10,1,12:00,75,14.01,38.17
DD,2,43.214346,3.755232,2019,10,1,12:00,80,13.85,38.19
DD,2,43.214346,3.755232,2019,10,1,12:00,85,13.79,38.2
DD,2,43.214346,3.755232,2019,10,1,12:00,90,13.66,38.22
DD,2,43.214346,3.755232,2019,10,1,12:00,95,13.6,38.23
DD,2,43.214346,3.755232,2019,10,1,12:00,100,13.47,38.25
DD,2,43.214346,3.755232,2019,10,1,12:00,105,13.41,38.26
DD,2,43.214346,3.755232,2019,10,1,12:00,110,13.41,38.27
DD,2,43.214346,3.755232,2019,10,1,12:00,115,13.38,38.28
DD,2,43.214346,3.755232,2019,10,1,12:00,120,13.35,38.29
DD,2,43.214346,3.755232,2019,10,1,12:00,125,13.32,38.3
DD,2,43.214346,3.755232,2019,10,1,12:00,130,13.29,38.31
DD,2,43.214346,3.755232,2019,10,1,12:00,135,13.25,38.32
DD,2,43.214346,3.755232,2019,10,1,12:00,140,13.25,38.34
DD,2,43.214346,3.755232,2019,10,1,12:00,145,13.25,38.34
DD,2,43.214346,3.755232,2019,10,1,12:00,150,13.25,38.35
DD,2,43.214346,3.755232,2019,10,1,12:00,155,13.25,38.36
DD,2,43.214346,3.755232,2019,10,1,12:00,160,13.22,38.37
DD,2,43.214346,3.755232,2019,10,1,12:00,165,13.25,38.38
DD,2,43.214346,3.755232,2019,10,1,12:00,170,13.25,38.38
DD,2,43.214346,3.755232,2019,10,1,12:00,175,13.25,38.38
DD,2,43.214346,3.755232,2019,10,1,12:00,180,13.25,38.39
DD,2,43.214346,3.755232,2019,10,1,12:00,185,13.25,38.4
DD,2,43.214346,3.755232,2019,10,1,12:00,190,13.25,38.4
DD,2,43.214346,3.755232,2019,10,1,12:00,195,13.25,38.4
DD,2,43.214346,3.755232,2019,10,1,12:00,200,13.25,38.4
AA,4,34.907593,29.910818,2019,1,1,12:00,0,16.2,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,5,16.2,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,10,16.2,39.08
AA,4,34.907593,29.910818,2019,1,1,12:00,15,16.1,39.08
AA,4,34.907593,29.910818,2019,1,1,12:00,20,16.1,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,25,16.1,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,30,16,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,35,15.9,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,40,15.9,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,45,15.9,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,50,15.9,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,55,15.8,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,60,15.8,39.07
AA,4,34.907593,29.910818,2019,1,1,12:00,65,15.8,39.06
AA,4,34.907593,29.910818,2019,1,1,12:00,70,15.7,39.06
AA,4,34.907593,29.910818,2019,1,1,12:00,75,15.7,39.06
AA,4,34.907593,29.910818,2019,1,1,12:00,80,15.7,39.06
